question_id,rank,score,chunk_id,doc_id,file_name,source_type,section_path,text
Q001,1,0.266335,CH0007,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > How often can I use the Cycle to Work scheme?,"You can only be in one agreement at a time, the next time you will be able to make an application will be once you've repaid your instalments. So if you are going to be paying back over a year, it would be best to think about your cycling needs over the whole year, not just right now."
Q001,2,0.236366,CH0004,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > Is CycleScheme the only provider I can utilise this scheme through?,"Yes, as of 5th December 2022."
Q001,3,0.231423,CH0009,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > I already own a bike – can I still apply?,"Of course! You may want to get a whole new upgrade, or a second bicycle for a different season or terrain. Just want accessories? Using the Cycle to Work scheme for accessories only is a very popular option for employees who already own a bicycle and just want to upgrade the rest of their equipment!"
Q001,4,0.198423,CH0008,DOC005,cycle_to_work_scheme.md,benefits,"Cycle To Work > Process for getting a bike through Cycle to Work: > Can I use Cycle to Work to get a bike for a family member, partner or friend?","No, the items you select must be for yourself."
Q001,5,0.167473,CH0005,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > What is the maximum value I can apply for?,The maximum value you can apply for is £2500.
Q001,6,0.158728,CH0010,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > Where can I get my bike and accessories from?,"You can shop in-store or online, with over 2,600 CycleScheme retailers to choose from across the UK."
Q001,7,0.155685,CH0012,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > What is an eCertificate?,An eCertiificate is the voucher you will be given once your application is approved. This is how you can purchase your bike or any equipment or accessories.
Q001,8,0.147009,CH0013,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > Do I have to spend my eCertificate all at once?,"Although you do not have to use your eCertificate all at once, we would advise that you do as your salary sacrifice amount will be according to the total amount you applied for, even if you spend less."
Q002,1,0.239181,CH0023,DOC004,flexible_working.md,benefits,Flexible Working,"Generally, we work Monday to Friday (40 hours) in all roles. We trust you to manage your day, ensuring team and client commitments are met.  But for a variety of reasons, people may need to work fewer than 5 days per week.
A formal flexible working request is where you request to contractually change your working arrangements on a permanent basis. This could be a request to change your working hours, which days you work or the location you work from and we have an internal process to support this."
Q002,2,0.224298,CH0024,DOC004,flexible_working.md,benefits,Flexible Working > Some things to consider,"**Notice** - Please provide as much notice as you can - ideally 2 months or more - for a request to change your working patterns. It helps us make sure our client commitments can continue to be met.  
**Project and scheduling needs** - As project and scheduling needs change, we'll do our best to accommodate flexible working patterns. But there may be very occasional times when we need to discuss temporary or permanent changes to a flexible working schedule. We'll try to give you as much notice as we can of any possible change.  
**Getting paid** - Your salary and any bonus payments will be pro-rated as a percentage of a 5 day week. For example, if you work 4 out of 5 days, your salary and any bonus would be reduced by 20%.  
**Pension** - As your salary is reduced, so too will your individual and employer pension contributions. You may like to increase your individual contribution to account for this.  
**Trial period** - If you request a flexible working pattern, there’s usually a trial period to assess the feasibility before any final change is confirmed.  
**Reduced working hours** - We can only support reduced working hours and not compressed hours or other patterns (such as annualised hours etc)."
Q002,3,0.09283,CH0054,DOC003,taking_holiday.md,benefits,Taking Holiday,"We're building a high-performance organisation that delivers great software products. We recognise that this requires a lot of hard work and that for our team to perform at their highest possible level, they need to live a well-balanced life and take regular time-out for rest, relaxation and rejuvenation.  
All team members have 38 days of leave available between June and May, this is inclusive of public and bank holidays (pro-rata for part time colleagues.) We believe this policy will help us to perform at the highest possible level.  
It is important that you and your colleagues feel that holiday is highly available. That holiday is an easily accessible commodity that enables everyone to get the necessary rest that they need.  
Made Tech will support holiday requests that are up to 4 consecutive weeks, if you wish to take longer than this the additional time may be unpaid. Please see our [Flexible Working](flexible_working.md) as the alternative to Flexible Holiday in those situations."
Q002,4,0.055946,CH0029,DOC007,help_to_buy_tech.md,benefits,Help to buy Tech with TechScheme > TechScheme FAQs > 4. How much will the product(s) cost me?,"Your net pay will be reduced by a monthly amount equivalent to the total cost of the product(s) that you've chosen. This will be spread evenly over the selected period of time.  
If you request your product before the 18th of the month your deductions will begin the same month, however if you request your voucher on or after the 18th your deductions will begin the following month."
Q002,5,0.05568,CH0048,DOC008,income_protection_and_life_insurance.md,benefits,Life Insurance,We offer life insurance cover for all company employees which will financially support your loved ones following death. This policy pays out 4x your annual salary.
Q002,6,0.050176,CH0002,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > How do I use CycleScheme?,"Start your application quickly and easily through the CycleScheme portal which you can access via Bob benefits. All you will need is the Employer Code which can be found in the information section of the Bob benefits CycleScheme tile. Once you have entered the Employee code go through the application process using your Payroll number (labelled Employee ID on your bob profile, or can be found on your payslip.)  
Once you have completed the application it will be sent to a member of the people team to approve your request. Once approved you will receive your eCertificate which can then be exchanged for your gear in store or online!  
If you request your product before the 18th of the month your deductions will begin the same month, however if you request your voucher on or after the 18th your deductions will begin the following month."
Q002,7,0.047065,CH0052,DOC011,private_medical_insurance.md,benefits,Private Medical Insurance,We have introduced BUPA Private Medical Insurance to employees who are Grade 11 (Lead/Principal) and above. This policy will cover the costs of private healthcare from diagnosis through to treatment. This is a taxable benefit and is declarable on a P11D.
Q002,8,0.044722,CH0059,DOC003,taking_holiday.md,benefits,Taking Holiday > Additional considerations,"* We use the HiBob calendar when working out project allocation and the number of days being billed to clients, so it's important that it is always up-to-date and accurate.  
* Time off due to illness and/or injury are handled separately. Flexible holiday cannot be used for these types of absences.  
* If a team members performance declines significantly due to abuse of this policy, then we reserve the right to review their use of this policy.  
* If you leave Made Tech part way through the year your contractual holiday allowance will be pro-rated to account for your leave date. In some cases this might mean we'll pay you for accrued and unused holiday and in others it might mean you'll have to pay days taken over your pro-rated allowance back."
Q003,1,0.453577,CH0052,DOC011,private_medical_insurance.md,benefits,Private Medical Insurance,We have introduced BUPA Private Medical Insurance to employees who are Grade 11 (Lead/Principal) and above. This policy will cover the costs of private healthcare from diagnosis through to treatment. This is a taxable benefit and is declarable on a P11D.
Q003,2,0.091442,CH0048,DOC008,income_protection_and_life_insurance.md,benefits,Life Insurance,We offer life insurance cover for all company employees which will financially support your loved ones following death. This policy pays out 4x your annual salary.
Q003,3,0.07306,CH0062,DOC013,Unum_Help_at_hand.md,benefits,Unum Help@hand,"This benefit is available for all team members, providing you with fast, direct access to medical experts through one easy to use app.
The service provides the following:  
- Access to remote GPs: An unlimited number of video consultations with UK based doctors.
- Mental Health support: Access to therapists (typically delivered by video consultation).
- Physiotherapy: Consultation and treatment with a network of physiotherapists.
- Medical second opinions: Access to UK based private consultants.
- Life, money, and wellbeing support: Advice on a range of life and work issues (see our [employee assistance section.](https://github.com/madetech/handbook/blob/main/guides/welfare/paid_counselling.md#employee-assistance))
- Access to a wellbeing calendar: Packed with resources, awareness dates, and support tools.  
To get started, download the app and log in using the details found in your invitation email."
Q003,4,0.070409,CH0016,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > What happens if my bike gets damaged or stolen?,"This one’s down to you! Looking after the bike is your responsibility, so we encourage you to purchase insurance. CycleScheme offers insurance options with Bikmo through their website."
Q003,5,0.070111,CH0021,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > How does Cycle to Work differ to Interest Free Finance that some retailers offer?,"Through CycleScheme, you will save between 25% and 39% through tax and national insurance and the cost will simply be deducted from your payslip. You’ll also get loads of free extras, discounts and benefits on the CycleScheme website which you would not get on Interest Free Finance! For example, a bike costing £1000 could cost as little as £56.60 a month over 12 months on CycleScheme - compared to £83.33 through Interest Free Finance."
Q003,6,0.05973,CH0036,DOC007,help_to_buy_tech.md,benefits,Help to buy Tech with TechScheme > TechScheme FAQs > 11. What if my product gets stolen or damaged?,"It's recommended you obtain separate insurance, or check your product is covered under your home contents insurance policy. Payments from your salary will not stop or be suspended due to loss or damage of the product."
Q003,7,0.035433,CH0020,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > What if I leave my company within my Hire Agreement?,"We completely understand that life can be unpredictable. If you were to leave your company or be made redundant in your hire period, the remaining gross balance would simply be deducted from your last payslip."
Q003,8,0.0338,CH0053,DOC012,season_ticket_loan.md,benefits,Season Ticket Loan,"On completion of the probation period, we offer a season ticket loan up to the value of one month's net salary.  
You will need to provide a receipt for the season ticket.  
The loan will be repaid automatically at PAYE from your net salary every month. There is no tax benefit, and no interest is payable.  
If you leave the company prior to your loan being repaid, the outstanding balance will be deducted from your final salary payment."
Q004,1,0.241142,CH0059,DOC003,taking_holiday.md,benefits,Taking Holiday > Additional considerations,"* We use the HiBob calendar when working out project allocation and the number of days being billed to clients, so it's important that it is always up-to-date and accurate.  
* Time off due to illness and/or injury are handled separately. Flexible holiday cannot be used for these types of absences.  
* If a team members performance declines significantly due to abuse of this policy, then we reserve the right to review their use of this policy.  
* If you leave Made Tech part way through the year your contractual holiday allowance will be pro-rated to account for your leave date. In some cases this might mean we'll pay you for accrued and unused holiday and in others it might mean you'll have to pay days taken over your pro-rated allowance back."
Q004,2,0.178891,CH0058,DOC003,taking_holiday.md,benefits,Taking Holiday > How is holiday approved?,It is the responsibility of the person agreeing to a holiday booking to ensure it is made in aligment to this policy and that the holiday will not impact the quality of service we're able to provide our clients
Q004,3,0.086636,CH0054,DOC003,taking_holiday.md,benefits,Taking Holiday,"We're building a high-performance organisation that delivers great software products. We recognise that this requires a lot of hard work and that for our team to perform at their highest possible level, they need to live a well-balanced life and take regular time-out for rest, relaxation and rejuvenation.  
All team members have 38 days of leave available between June and May, this is inclusive of public and bank holidays (pro-rata for part time colleagues.) We believe this policy will help us to perform at the highest possible level.  
It is important that you and your colleagues feel that holiday is highly available. That holiday is an easily accessible commodity that enables everyone to get the necessary rest that they need.  
Made Tech will support holiday requests that are up to 4 consecutive weeks, if you wish to take longer than this the additional time may be unpaid. Please see our [Flexible Working](flexible_working.md) as the alternative to Flexible Holiday in those situations."
Q004,4,0.086229,CH0057,DOC003,taking_holiday.md,benefits,Taking Holiday > Who approves holiday?,"We want to ensure teams own their holidays and that includes thinking about the commercial impact of taking them. To that affect we need to make sure you've done the following before booking holiday:  
* Ask your team members if it's okay with them
* Ask your clients if it's okay with them
* Ensure your responsibilities are covered whilst you're away
* Ensure the Made Tech person leading your client workstream or your line manager provides their agreement
* Ensure that the holiday is placed into HiBob"
Q004,5,0.070601,CH0060,DOC003,taking_holiday.md,benefits,Taking Holiday > Festive period at Made Tech > Between Christmas and New Years,"* We only work for clients during the 3 days between Christmas and New Years if they specifically ask for this. Where there is a client requirement we'd look for volunteers to provide this cover. Most team members will not be working during this time.
* Please note - you will need to book this time off as holiday in HiBob unless it has been agreed that you are working."
Q004,6,0.059805,CH0056,DOC003,taking_holiday.md,benefits,Taking Holiday > How will it affect your team?,"Having several team members away at the same time can make life really difficult for everyone else. Try to forward-plan your holiday, so it doesn't have a detrimental affect on your team members or on the company.  
We recommend you check with your Delivery Lead whenever you join a new team. Our general guideline on this is that only 1 person from a small team (less than 4) may be away at any one time. For larger teams (5+) please refer to your Delivery or Team Lead to confirm what works best for your team."
Q004,7,0.056732,CH0061,DOC003,taking_holiday.md,benefits,Taking Holiday > Festive period at Made Tech > December and January,"Taking time off works differently for the two weeks before Christmas and the first week in January as this is a popular time for holidays.
This means we need to coordinate with our team beyond what we may do ordinarily to ensure that there is fair access to holiday and adequate cover of team members working across client deliveries.  
* We'll consult with our clients as early as possible to understand what level of cover they will need.
* Time off requests submitted for this period are typically reviewed and confirmed by mid October."
Q004,8,0.053062,CH0055,DOC003,taking_holiday.md,benefits,Taking Holiday > How long are you taking?,"We trust you'll use your best judgement when taking holidays. This is the level of notice we expect when you take your holiday:  
* **For 1 day** – you must give at least 3 days notice
* **For 2 days** – you must give at least 1 week notice
* **For between 3 days - 4 days** – you must give at least 2 weeks notice
* **For between 1 week - 2 weeks** – you must give at least 4 weeks notice
* **For greater than 2 weeks** – you must give 3 months notice  
The notice guidance is a minimum -  please aim to give your team as much notice of upcoming leave as you can. Your team, Delivery Manager and client should all agree to your leave before you schedule this in, and providing notice minimises the chance of problems being raised. Where your team plans work at a regular cadence (e.g. during sprint planning every two weeks), you should aim to make the team aware of any potential leave to help the team remain accountable for commitments made.  
The ability to book holiday/learning days at shorter notice whilst you are within the chalet is an accepted exception to the above notice periods - in those instances please check in with Scheduling to ensure you are not due to be imminently assigned to an account and let your line manager know.  
If you wish to book holiday outside of these guidelines, please make a request to your Head of Capability, Head of Industry, or Head of Business Service who will help you plan for this time off."
Q005,1,0.392762,CH0102,DOC018,associate_software_engineer.md,roles,Associate Software Engineer > What experience are we looking for?,All of our Software Engineers are trained first as an Academy Software Engineer within our 12-week academy programme.
Q005,2,0.311309,CH0103,DOC018,associate_software_engineer.md,roles,Associate Software Engineer > Work perks and benefits,Take a look at the Benefits & Perks section of the [Made Tech Handbook](https://github.com/madetech/handbook) to see what we can offer you.
Q005,3,0.267463,CH0105,DOC018,associate_software_engineer.md,roles,Associate Software Engineer > Applying,"We don't hire directly for Associate Software Engineer roles at Made Tech. We prioritise our hiring opportunities towards our Software Engineering Academy. You’ll need to complete our 12-week academy programme. After your first 6 months at Made Tech, you’ll be in a position to pass probation and become an Associate Software Engineer with us. Learn more about our academy and find out when we’re accepting applications at https://www.madetech.com/careers/academy. We’d still love to hear from you if you feel our academy or more senior engineering roles aren’t a good fit for you. If you have any questions, drop us a line at [careers@madetech.com](mailto:careers@madetech.com)."
Q005,4,0.214143,CH0100,DOC018,associate_software_engineer.md,roles,Associate Software Engineer,"Our engineers build software that makes our clients happy. They prefer problem solving over completing tasks, love learning from colleagues, and work as a unified team to help deliver projects that make a real difference to people’s lives."
Q005,5,0.186153,CH0104,DOC018,associate_software_engineer.md,roles,Associate Software Engineer > Salary and location,"We mainly work remotely but you may need to visit clients or go to the office occasionally. We have offices in London, Bristol, Manchester, and Swansea.  
We practice salary transparency when it comes to advertising roles at Made Tech. Every role we publish will include the salary range in the job ad, please do refer to that.  
For any internal candidates, we are currently reviewing and refreshing our pay bands and will be sharing those internally first. They will then be placed back here again by the end of July 2025."
Q005,6,0.122177,CH0101,DOC018,associate_software_engineer.md,roles,Associate Software Engineer > Your role at Made Tech,"We primarily write and deliver custom software for the public sector. Technical excellence for us isn’t about delivering to feature lists. We place a strong emphasis on outcome-based delivery, making sure our clients’ goals are understood and achieved with the technology we deploy.  
Our teams have used Ruby with Rails and Sinatra, ES6 with React and Angular 2, and C# with .NET Core. We don’t limit ourselves and we expect all of our engineers to be keen on learning new technologies. Automation is important to our teams, so we make sure there’s a CD pipeline set up to build, test, and release. We’re usually responsible for setting up clients’ infrastructure, too. For example, on AWS, GCP or Azure using tools like Terraform. Though, sometimes we opt for a Platform as a Service like Heroku."
Q005,7,0.060722,CH0021,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > How does Cycle to Work differ to Interest Free Finance that some retailers offer?,"Through CycleScheme, you will save between 25% and 39% through tax and national insurance and the cost will simply be deducted from your payslip. You’ll also get loads of free extras, discounts and benefits on the CycleScheme website which you would not get on Interest Free Finance! For example, a bike costing £1000 could cost as little as £56.60 a month over 12 months on CycleScheme - compared to £83.33 through Interest Free Finance."
Q005,8,0.056074,CH0144,DOC023,lead_data_engineer.md,roles,Lead Data Engineer > Work perks and benefits,Take a look at the Benefits & Perks section of the [Made Tech Handbook](https://github.com/madetech/handbook) to see what we can offer you.
Q006,1,0.349676,CH0144,DOC023,lead_data_engineer.md,roles,Lead Data Engineer > Work perks and benefits,Take a look at the Benefits & Perks section of the [Made Tech Handbook](https://github.com/madetech/handbook) to see what we can offer you.
Q006,2,0.270332,CH0146,DOC023,lead_data_engineer.md,roles,Lead Data Engineer > Applying,"When we’re hiring for this role, you can see the details and apply at www.madetech.com/careers. If you have any questions about the role please email us at [careers@madetech.com](mailto:careers@madetech.com). We’re happy to help!"
Q006,3,0.264674,CH0140,DOC023,lead_data_engineer.md,roles,Lead Data Engineer,"Our Lead Data Engineers enable public sector organisations to embrace a data-supported approach by providing data platforms and services that are high-quality, cost-efficient, and tailored to our clients' needs. They manage teams to develop, operate, and maintain these services. They make sure they’re providing maximum value to data consumers, including analysts, scientists, and business stakeholders."
Q006,4,0.196863,CH0145,DOC023,lead_data_engineer.md,roles,Lead Data Engineer > Salary and location,"We mainly work remotely but you may need to visit clients or go to the office occasionally. We have offices in London, Bristol, Manchester, and Swansea.  
The salary for this role is location-dependent:  
We practice salary transparency when it comes to advertising roles at Made Tech. Every role we publish will include the salary range in the job ad, please do refer to that.  
For any internal candidates, we are currently reviewing and refreshing our pay bands and will be sharing those internally first. They will then be placed back here again by the end of July 2025."
Q006,5,0.168103,CH0143,DOC023,lead_data_engineer.md,roles,Lead Data Engineer > Desirable experience,"Experience in the following things isn’t essential, but it’s highly desirable!  
- Working at a technology consultancy
- Pair programming
- Working with data scientists to productionise advanced data deliverables, such as machine learning models
- Infrastructure-as-Code (e.g. Terraform, Cloud Formation)
- Working knowledge of statistics
- Working within bid teams to win contracts exceeding value of £1m
- Working with multidisciplinary digital and technology teams
- Working within the public sector
- Experience in hiring, forming and running teams"
Q006,6,0.153265,CH0142,DOC023,lead_data_engineer.md,roles,Lead Data Engineer > What skills and experience are we looking for?,"We look for the following skills and experience. But when we’re hiring for this role, if you don’t have some of the skills and experience listed below, don’t let that stop you from applying!  
- Working directly with customers and users
- Strong understanding of the possible architectures involved in modern data system design (e.g. warehouses, lakes and meshes)
- Designing and implementing efficient data transformation processes at scale, both in batch and streaming use cases
- Owning the cloud infrastructure underpinning data systems through a DevOps approach
- Agile practices such as Scrum, XP, and/or Kanban
- Showcasing and presentation skills
- Evidence of self-development – we value keen learners
- Empathy and people skills"
Q006,7,0.110273,CH0141,DOC023,lead_data_engineer.md,roles,Lead Data Engineer > Your role at Made Tech,"At Made Tech we want to positively impact the future of the country by using technology to improve society, for everyone. We want to empower the public sector to deliver and continuously improve digital services that are secure, user-centric, data-driven and freed from legacy technology. A key component of this is developing modern data systems and platforms that drive informed decision-making for our clients. You will also work closely with clients to help shape their data strategy.  
You may play one or more roles according to our clients' needs. Sometimes the role is very hands-on and you'll both manage the team and contribute to a project, delivering engineering work including code as well as upskilling members of the client team. At other points, you might play more of a technical architect role, making sure that the wider context of a delivery is considered and maintaining alignment between the operational and analytical aspects of the engineering solution.  
As a senior member of the data capability within Made Tech, you will also be responsible for our hiring and continued development of the team, as well as representing us both internally to the organisation and publicly via presentations. At times, you will participate in the bid process of winning new contracts as a technical representative for the capability, using your data expertise to demonstrate the value that we can deliver. You will also line-manage members of the team up to a senior level.  
You’ll need to have a drive to deliver outcomes for users and have a desire to mentor teams. You will need to be comfortable sharing your knowledge and skills with others. We'd love to hear some examples of times you’ve mentored, coached, and contributed to the growth of team members. Maybe you’ve written some blog posts about your discipline, or perhaps even delivered a talk or two that you’d like to share."
Q006,8,0.089952,CH0102,DOC018,associate_software_engineer.md,roles,Associate Software Engineer > What experience are we looking for?,All of our Software Engineers are trained first as an Academy Software Engineer within our 12-week academy programme.
Q007,1,0.15015,CH0072,DOC002,welcome_pack.md,company,Welcome Pack > Getting Started Checklist > Setting up your Machine,"#### Engineers  
To get your machine set up with some essentials we've created [First Boot](https://github.com/madetech/first-boot).  
First Boot will install applications like Chrome, Slack, and Sequel Pro as well as installing the latest version of Ruby using `rbenv`, and the latest version of Node using `nvm`."
