chunk_id,doc_id,file_name,source_type,doc_title,h1,h2,h3,section_path,text
CH0001,DOC005,cycle_to_work_scheme.md,benefits,cycle_to_work_scheme,Cycle To Work,,,Cycle To Work,"We take part in Cycle to Work as we wish to support those who wish to cycle to work whether it's for pleasure, aiming to be healthier, trying to be more green or any other reasons.
Made Tech have a limit of £2500 with CycleScheme which can be used to purchase a bike and any accessories you will need. You then pay a monthly 'salary sacrifice' to effectively 'hire' the bike and kit, over a 12 month period. Once this period has been completed you will be given options around owning your bike. The [FAQs section](https://help.cyclescheme.co.uk/article/42-what-is-an-ownership-fee) of their website has lots of information regarding these options.If you leave Made Tech before paying off the purchase, the balance will be taken from your final salary payment."
CH0002,DOC005,cycle_to_work_scheme.md,benefits,cycle_to_work_scheme,Cycle To Work,Process for getting a bike through Cycle to Work:,How do I use CycleScheme?,Cycle To Work > Process for getting a bike through Cycle to Work: > How do I use CycleScheme?,"Start your application quickly and easily through the CycleScheme portal which you can access via Bob benefits. All you will need is the Employer Code which can be found in the information section of the Bob benefits CycleScheme tile. Once you have entered the Employee code go through the application process using your Payroll number (labelled Employee ID on your bob profile, or can be found on your payslip.)  
Once you have completed the application it will be sent to a member of the people team to approve your request. Once approved you will receive your eCertificate which can then be exchanged for your gear in store or online!  
If you request your product before the 18th of the month your deductions will begin the same month, however if you request your voucher on or after the 18th your deductions will begin the following month."
CH0003,DOC005,cycle_to_work_scheme.md,benefits,cycle_to_work_scheme,Cycle To Work,Process for getting a bike through Cycle to Work:,Who are CycleScheme?,Cycle To Work > Process for getting a bike through Cycle to Work: > Who are CycleScheme?,"CycleScheme is a great employee benefit which offers the most cost-effective way to get new cycling equipment. The scheme is run via a salary sacrifice meaning you won’t pay tax or national insurance – this saves you between 25% and 39% on your new bike and accessories. This reduced cost is simply deducted out of your payslip over 12 months, so no need to worry about large one-off costs!"
CH0004,DOC005,cycle_to_work_scheme.md,benefits,cycle_to_work_scheme,Cycle To Work,Process for getting a bike through Cycle to Work:,Is CycleScheme the only provider I can utilise this scheme through?,Cycle To Work > Process for getting a bike through Cycle to Work: > Is CycleScheme the only provider I can utilise this scheme through?,"Yes, as of 5th December 2022."
CH0005,DOC005,cycle_to_work_scheme.md,benefits,cycle_to_work_scheme,Cycle To Work,Process for getting a bike through Cycle to Work:,What is the maximum value I can apply for?,Cycle To Work > Process for getting a bike through Cycle to Work: > What is the maximum value I can apply for?,The maximum value you can apply for is £2500.
CH0006,DOC005,cycle_to_work_scheme.md,benefits,cycle_to_work_scheme,Cycle To Work,Process for getting a bike through Cycle to Work:,How do I know how much to apply for?,Cycle To Work > Process for getting a bike through Cycle to Work: > How do I know how much to apply for?,We recommend finding your perfect bike and accessories before applying so you know exactly what amount to apply for. This way you won’t apply for too much or too little – this is really important to get right because you cannot amend your application once you have been approved. You can also use the [Savings Calculator](https://www.cyclescheme.co.uk/calculator) to find out how much you will be saving on your package.
CH0007,DOC005,cycle_to_work_scheme.md,benefits,cycle_to_work_scheme,Cycle To Work,Process for getting a bike through Cycle to Work:,How often can I use the Cycle to Work scheme?,Cycle To Work > Process for getting a bike through Cycle to Work: > How often can I use the Cycle to Work scheme?,"You can only be in one agreement at a time, the next time you will be able to make an application will be once you've repaid your instalments. So if you are going to be paying back over a year, it would be best to think about your cycling needs over the whole year, not just right now."
CH0008,DOC005,cycle_to_work_scheme.md,benefits,cycle_to_work_scheme,Cycle To Work,Process for getting a bike through Cycle to Work:,"Can I use Cycle to Work to get a bike for a family member, partner or friend?","Cycle To Work > Process for getting a bike through Cycle to Work: > Can I use Cycle to Work to get a bike for a family member, partner or friend?","No, the items you select must be for yourself."
CH0009,DOC005,cycle_to_work_scheme.md,benefits,cycle_to_work_scheme,Cycle To Work,Process for getting a bike through Cycle to Work:,I already own a bike – can I still apply?,Cycle To Work > Process for getting a bike through Cycle to Work: > I already own a bike – can I still apply?,"Of course! You may want to get a whole new upgrade, or a second bicycle for a different season or terrain. Just want accessories? Using the Cycle to Work scheme for accessories only is a very popular option for employees who already own a bicycle and just want to upgrade the rest of their equipment!"
CH0010,DOC005,cycle_to_work_scheme.md,benefits,cycle_to_work_scheme,Cycle To Work,Process for getting a bike through Cycle to Work:,Where can I get my bike and accessories from?,Cycle To Work > Process for getting a bike through Cycle to Work: > Where can I get my bike and accessories from?,"You can shop in-store or online, with over 2,600 CycleScheme retailers to choose from across the UK."
