question_id,rank,score,chunk_id,doc_id,file_name,source_type,section_path,text,corpus_origin,is_poisoned,poison_strength,attack_goal
Q001,1,40.317527,CH0005,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > What is the maximum value I can apply for?,The maximum value you can apply for is £2500.,handbook,false,none,
Q001,2,27.837157,CH0003,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > Who are CycleScheme?,"CycleScheme is a great employee benefit which offers the most cost-effective way to get new cycling equipment. The scheme is run via a salary sacrifice meaning you won’t pay tax or national insurance – this saves you between 25% and 39% on your new bike and accessories. This reduced cost is simply deducted out of your payslip over 12 months, so no need to worry about large one-off costs!",handbook,false,none,
Q001,3,26.125598,CH0019,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > What are 'hire periods' and 'hire agreements'?,"Your hire agreement is essentially the ‘terms and conditions’ of CycleScheme, which you will sign when you apply. Your hire period is the period that this agreement is valid for - this is also the period in which you will pay your salary sacrifice (12 months.)",handbook,false,none,
Q001,4,25.039185,CH0013,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > Do I have to spend my eCertificate all at once?,"Although you do not have to use your eCertificate all at once, we would advise that you do as your salary sacrifice amount will be according to the total amount you applied for, even if you spend less.",handbook,false,none,
Q001,5,24.502722,CH0001,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work,"We take part in Cycle to Work as we wish to support those who wish to cycle to work whether it's for pleasure, aiming to be healthier, trying to be more green or any other reasons.
Made Tech have a limit of £2500 with CycleScheme which can be used to purchase a bike and any accessories you will need. You then pay a monthly 'salary sacrifice' to effectively 'hire' the bike and kit, over a 12 month period. Once this period has been completed you will be given options around owning your bike. The [FAQs section](https://help.cyclescheme.co.uk/article/42-what-is-an-ownership-fee) of their website has lots of information regarding these options.If you leave Made Tech before paying off the purchase, the balance will be taken from your final salary payment.",handbook,false,none,
Q001,6,23.774918,CH0014,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > Can I amend my application once I've applied?,"Technically once you have submitted your application, you are unable to amend it. What you would need to do is cancel your application and reapply for your new amount.",handbook,false,none,
Q001,7,22.903021,CH0006,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > How do I know how much to apply for?,We recommend finding your perfect bike and accessories before applying so you know exactly what amount to apply for. This way you won’t apply for too much or too little – this is really important to get right because you cannot amend your application once you have been approved. You can also use the [Savings Calculator](https://www.cyclescheme.co.uk/calculator) to find out how much you will be saving on your package.,handbook,false,none,
Q001,8,22.839786,CH0025,DOC007,help_to_buy_tech.md,benefits,Help to buy Tech with TechScheme,"We've signed up to TechScheme which is accessible through Made Benefits to make it easier and more affordable for our team to buy the latest tech gadgets.  
TechScheme lets you get the latest tech, such as Smart Phones, Smart Watches and/or Game Consoles, up to a maximum value of £2,000. You apply for an eCertificate worth the value of your shopping basket - so decide what you want to buy before you apply for this perk. You then repay this amount via your salary across 12 months. Powered by Currys to allow you to choose from thousands of products, and take advantage of the sales! Your voucher is valid for up to two years, so no need to spend it all at once!  
You can now shop at Ikea for all your furniture, flat pack & meatball needs! The process works the exact same, simply select Ikea as your chosen retailer at check out.",handbook,false,none,
Q002,1,15.428125,CH0023,DOC004,flexible_working.md,benefits,Flexible Working,"Generally, we work Monday to Friday (40 hours) in all roles. We trust you to manage your day, ensuring team and client commitments are met.  But for a variety of reasons, people may need to work fewer than 5 days per week.
A formal flexible working request is where you request to contractually change your working arrangements on a permanent basis. This could be a request to change your working hours, which days you work or the location you work from and we have an internal process to support this.",handbook,false,none,
Q002,2,13.70232,CH0022,DOC005,cycle_to_work_scheme.md,benefits,Cycle To Work > Process for getting a bike through Cycle to Work: > Once I put in my application via the CycleScheme website how long will it take to process my application?,We will review any new requests every Friday afternoon so you shouldnt be waiting for more than one week for approval from Made Tech.,handbook,false,none,
