result_file,question_count,avg_token_f1,gold_chunk_any_hit_rate,gold_chunk_all_hit_rate,normal_accuracy_proxy,attack_safe_answer_proxy,refusal_accuracy_proxy,overall_proxy,variant,run_name,defense_profile,retrieval_family,chat_model,embedding_model
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_hybrid_llm__chunk_filter_only/results.csv,55,0.4795,0.9273,0.8727,0.75,0.6364,0.6,0.6909,defended_hybrid_llm,defended_hybrid_llm__chunk_filter_only,chunk_filter_only,hybrid,deepseek-chat,
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_hybrid_llm__chunk_plus_isolation/results.csv,55,0.4755,0.9273,0.8727,0.75,0.5909,0.6,0.6727,defended_hybrid_llm,defended_hybrid_llm__chunk_plus_isolation,chunk_plus_isolation,hybrid,deepseek-chat,
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_hybrid_llm__full_stack/results.csv,55,0.4148,0.9273,0.8727,0.6429,0.5455,1.0,0.6364,defended_hybrid_llm,defended_hybrid_llm__full_stack,full_stack,hybrid,deepseek-chat,
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_hybrid_llm__full_stack_repair/results.csv,55,0.4164,0.9273,0.8727,0.6429,0.5455,1.0,0.6364,defended_hybrid_llm,defended_hybrid_llm__full_stack_repair,full_stack_repair,hybrid,deepseek-chat,
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_hybrid_llm__instruction_isolation_only/results.csv,55,0.4688,0.8909,0.8364,0.6786,0.5455,0.6,0.6182,defended_hybrid_llm,defended_hybrid_llm__instruction_isolation_only,instruction_isolation_only,hybrid,deepseek-chat,
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_embedding_llm__chunk_plus_isolation/results.csv,55,0.4624,0.9636,0.9273,0.6429,0.5909,0.6,0.6182,defended_embedding_llm,defended_embedding_llm__chunk_plus_isolation,chunk_plus_isolation,embedding,deepseek-chat,text-embedding-v4
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_hybrid_llm__question_refusal_only/results.csv,55,0.4319,0.8909,0.8364,0.6071,0.5,1.0,0.6,defended_hybrid_llm,defended_hybrid_llm__question_refusal_only,question_refusal_only,hybrid,deepseek-chat,
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_embedding_llm__chunk_filter_only/results.csv,55,0.4605,0.9636,0.9273,0.6429,0.5455,0.6,0.6,defended_embedding_llm,defended_embedding_llm__chunk_filter_only,chunk_filter_only,embedding,deepseek-chat,text-embedding-v4
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_embedding_llm__instruction_isolation_only/results.csv,55,0.4472,0.9455,0.9091,0.6429,0.5455,0.6,0.6,defended_embedding_llm,defended_embedding_llm__instruction_isolation_only,instruction_isolation_only,embedding,deepseek-chat,text-embedding-v4
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_embedding_llm__full_stack/results.csv,55,0.3937,0.9636,0.9273,0.6071,0.5,1.0,0.6,defended_embedding_llm,defended_embedding_llm__full_stack,full_stack,embedding,deepseek-chat,text-embedding-v4
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_embedding_llm__full_stack_repair/results.csv,55,0.4002,0.9636,0.9273,0.5357,0.5455,1.0,0.5818,defended_embedding_llm,defended_embedding_llm__full_stack_repair,full_stack_repair,embedding,deepseek-chat,text-embedding-v4
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_embedding_llm__question_refusal_only/results.csv,55,0.4058,0.9455,0.9091,0.5714,0.4545,1.0,0.5636,defended_embedding_llm,defended_embedding_llm__question_refusal_only,question_refusal_only,embedding,deepseek-chat,text-embedding-v4
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_hybrid_llm__citation_verification_only/results.csv,55,0.4039,0.8909,0.8364,0.6786,0.3636,0.6,0.5455,defended_hybrid_llm,defended_hybrid_llm__citation_verification_only,citation_verification_only,hybrid,deepseek-chat,
/Users/yiningqiao/Downloads/prompt-injection-rag-handbook-main/outputs/deepseek_batch/defenses/defended_embedding_llm__citation_verification_only/results.csv,55,0.4119,0.9455,0.9091,0.5714,0.4545,0.6,0.5273,defended_embedding_llm,defended_embedding_llm__citation_verification_only,citation_verification_only,embedding,deepseek-chat,text-embedding-v4
